iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
40,0.02,579.06,2926.02,4042.17,QmUvh4rTM9dFZRqjXgS9yeHPtrvW67yCBuAjcRHZoL8Lb5,3zTENn9pUYwxCySyo6PZWLvsvrU6rBHvacMZqc7nJS91
41,0.04,690.30,2914.80,5449.33,QmeCmxjRQ1azSsFBoaF8F5DicxdLoXWjVKZV9AbbCa5FZC,8pNEwh1g7JMZMnGuXBr8aKwnPiHMUKQC6MZyYeNLQ1sn
42,0.03,577.54,841.69,3810.28,QmcCuoj6tna19o6GJ3hHotZJXxNhfCX5cMkna9KcD2xo8z,99WJgBonTR9t53rKYk8n8kpyqvdVCkuyxzk8NzEJsXx1
43,0.03,390.99,850.57,6514.90,QmReftHPTc5T2CDJc4q91qz2PdA5akVawTeCwfLv85yGhj,8ULc2SMegtCsCuQcnATbj5GShigdxuLLH1fZNBnF4iPP
44,0.02,568.55,3005.95,5312.19,QmabAx2TRnagDR7bvZ9h3cKaVYAsLCEKd3iV3kU5qGxqD1,Bro4ZfxtyFx3KkPXxn1TpWF3wfBTgxFgk86PNwh8NEhC
45,0.02,616.52,2925.54,6601.15,QmUDAEHQvzSbA4DuVVAHiWsZEBr9r3GmvbbwNe6dPYkdDh,xYMFmJ4Qzp4aCSEh1oNTk8z73WpdwNAtyWfMCYYvrpE
46,0.02,615.50,2738.98,44940.56,QmSMW8AjXhGb7XLMAQNtp3xni675FBgoXs87JjTWBt1SCv,7j7cY27uPSRYADyxoeuNajEQoDP1CshfJ39Yy9cEnVAU
47,0.03,749.16,1258.14,4767.29,QmURSmQ5jQNXdBfreFEmQtsEkx1bgb8ZSqyKLYFmJWEzUZ,H3fmEEXtGfn2ZADmbrd9od6GhWu1gsxtDT8NxWZjfXdo
48,0.02,604.20,845.07,6384.88,QmPaFyuzqZFhpZGW3rRUQmc4YhwvyQozWsB5YaxU9V3scm,GZfP6mSLdwD6fSyCQMJcFjMu7mgcNcmz9dug2PCyokJU
49,0.02,649.26,2729.27,3586.48,QmdoExfWkMKjLUp6yt4h77ZNY5PTJXUwx6wTaGsod1CSRJ,CKzjFZesvgt1ktX53CCU718i9JhYZmpPUDSxfiEfFZ57
