iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
40,0.02,1017.20,2148.50,4013.83,Qmf4vPsZZYXY6LGD68P5rQu6rGtrHpUJp4DZ6kD1ZN9dtP,7AjheR8qbeUyzS6LS8kYC6cnLLd7JNJyaRXcwsmJANFJ
41,0.02,801.89,1782.30,14912.06,QmYA5rX8eLcbtcMGp3mkxYsk3zAt9QRzwHBU8gpis4e4k6,9zMeCAwXPdPhnk57H6onZzKRgG8y9YEzUWyxmgFNr8c5
42,0.04,2010.92,2392.95,4300.47,QmcEHp7nR8zd4Gr3nCk8iwVo7ucCQAYQHBWofSvfLsVCGw,4KeoyeW8JTYtvmvW8Th8oRyEVMN4a92Ej8x8KKDTt1b9
43,0.02,1269.71,2530.80,3877.87,QmUP7EN2684V1sHLdBQ4ATrmCuBv4ni97vmSbTNxigVR1A,BTCkvMx7DYndXb1mdASFJrp3gf7wwdW41hbqXw9ha4s8
44,0.03,922.71,2144.63,6355.93,QmT8FmGqxDhXsHoBUsjE5qZR6WyW55p8RtoM35ZdDfiJ4v,FxsadsToDKqUP6eM57juP1SDX4SmEAkFz4go4Tpj5RmA
45,0.04,1351.37,1103.65,3995.81,QmYgjhs5anW5JSxpkKUzdrMc6hJVeTkRGRbWSfN6R5GreU,6F8coC1EGzqT2nNdBTRfeDcXsi4ZeZxq5qRrugmar9Mk
46,0.04,1019.61,1126.22,3689.29,QmZSyC3ncAXDDoW7rNrwsUgagmEHkRm2jf95Wm2voAQaJP,3HkfG2ACFDareRqJZ9mhj6GXQokre2YnfmgTqkgap5Ke
47,0.02,512.53,1129.12,6448.50,QmdxPKRmSx5GF52ipgUk3y8QETLFwZwGhq9yckwusR2iLx,35g4UvQ7V5TY5Mn9KkbmSSe4Z2XYjDbcBxqbnfkD7ZH5
48,0.03,717.47,1228.20,5630.94,QmbyvuQkYAnDgJ9DVzjmD8hjrFDn9fdS3mx4A68bhzAXNw,3ey3U381kxAyXhUngevfHWEGg1TFYbeCumzpqji7sRxi
49,0.02,1535.50,2145.64,6457.86,QmPKsFkaxoYiQT8FxqooPT9MT4omYNnkANXn4s5HJo5HT1,GUtsxTxSUYUWCwYZq76WRjquM5gRJNCpTzC4KtYDDTzg
50,0.03,717.00,1327.50,6558.07,QmQX8ZL1UnT6Xz7C3pCUSi6EaSkLAVjZLrb4ZmdberVqwK,9zq8SSutobrcdiuLsGD3b2U7jNkExXu1R5DqvpjX2mDF
